Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
Jordan Akins,TE,HOU/10,-2.35,0.77,33.0,8,28|07,277.5,11.2,0.0,
CJ Uzomah,TE,CIN/10,-2.37,0.88,34.0,8,30|08,298.9,4.1,0.0,
Jack Doyle,TE,IND/14,-2.55,1.05,35.0,9,26|08,258.2,0.0,0.0,
Dan Arnold,TE,CAR/13,-2.78,1.04,36.0,9,25|07,247.3,0.0,0.0,
Donald Parham,TE,LAC/7,-3.0,0.88,37.0,9,29|04,284.6,1.0,0.0,
Dalton Schultz,TE,DAL/7,-3.0,0.99,38.0,9,29|02,282.1,0.0,0.0,
Will Dissly,TE,SEA/9,-3.06,0.79,39.0,9,31|01,301.0,0.0,0.0,
Kyle Rudolph,TE,NYG/10,-3.15,0.85,40.0,9,29|09,289.7,0.0,0.0,
Tyler Conklin,TE,MIN/7,-3.23,0.83,41.0,9,32|10,320.5,0.0,0.0,
Albert Okwuegbunam,TE,DEN/11,-3.31,1.22,42.0,9,31|04,304.8,0.0,0.0,
David Njoku,TE,CLE/13,-3.39,0.65,43.0,9,31|07,307.4,0.0,0.0,
Nick Boyle,TE,BAL/8,-3.45,1.06,44.0,9,37|04,364.8,0.0,0.0,
Maxx Williams,TE,ARI/12,-3.51,0.63,45.0,9,32|07,317.0,0.0,0.0,
Cameron Brate,TE,TB/9,-3.56,0.85,46.0,9,34|04,334.5,0.0,0.0,
Drew Sample,TE,CIN/10,-3.57,0.89,47.0,9,33|07,327.1,0.0,0.0,
James OShaughnessy,TE,JAX/7,-3.59,0.81,48.0,10,34|07,337.6,0.0,0.0,
Harrison Bryant,TE,CLE/13,-3.62,0.73,49.0,10,31|10,310.4,0.0,0.0,
Pat Freiermuth,TE,PIT/7,-3.73,0.73,50.0,10,31|07,307.2,0.0,0.0,
Foster Moreau,TE,LV/8,-3.73,0.54,51.0,10,35|07,347.3,0.0,0.0,
Darren Fells,TE,DET/9,-3.76,1.03,52.0,10,37|02,362.6,0.0,0.0,
Brevin Jordan,TE,HOU/10,-3.8,0.92,53.0,10,34|05,335.0,0.0,0.0,
Nick Vannett,TE,NO/6,-3.83,0.79,54.0,10,35|09,349.7,0.0,0.0,
Tyler Kroft,TE,NYJ/6,-3.83,0.44,55.0,10,33|09,329.8,0.0,0.0,
Ian Thomas,TE,CAR/13,-3.9,1.09,56.0,10,30|06,296.8,0.0,0.0,
